ADC.steerAngle, ADC.airSpeed, ADC.brakePressB, ADC.fuelTankLevel, ADC.shockDispFL, ADC.shockDispFR, ADC.shockDispBR, ADC.shockDispBL, ADC.channel9, ADC.channel10, ADC.channel11, ADC.channel12, INA.brakePressF, IMU.xAccel, IMU.yAccel, IMU.zAccel, IMU.xRot, IMU.yRot, IMU.zRot, IMU.temp, ECU.RPM, ECU.ECT, ECU.batVolt, GPS.speed, GPS.speedAccel, GPS.latitude, GPS.longitude
1.878057, 0.579018, 0.609019, 1.938059, 1.105534, 1.105534, 1.105534, 1.105534, 0.553704, 0.553704, 0.553704, 0.553704, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, -0.070000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.869057, 0.582018, 0.624019, 1.920059, 1.282164, 1.282164, 1.282164, 1.282164, 0.550704, 0.550704, 0.550704, 0.550704, -0.100000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, 0.000000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.884058, 0.573017, 0.618019, 1.923059, 1.368417, 1.368417, 1.368417, 1.368417, 0.546017, 0.546017, 0.546017, 0.546017, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, 17.990000, 0.000000, 82, 13,0, 0, 0,0,1918904912
1.872057, 0.582018, 0.627019, 1.926059, 1.295290, 1.295290, 1.295290, 1.303727, 0.551642, 0.551642, 0.551642, 0.551642, -0.100000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, -0.070000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.884058, 0.570017, 0.630019, 1.935059, 1.303727, 1.303727, 1.303727, 1.303727, 0.549017, 0.549017, 0.549017, 0.549017, -0.100000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, 89.949997, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.890058, 0.579018, 0.615019, 1.920059, 1.318915, 1.318915, 1.318915, 1.318915, 0.547329, 0.547329, 0.547329, 0.547329, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, -108.010002, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.872057, 0.576018, 0.615019, 1.914058, 1.296602, 1.296602, 1.296602, 1.271664, 0.545079, 0.545079, 0.545079, 0.553329, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, -0.070000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.875057, 0.579018, 0.615019, 1.914058, 1.271664, 1.271664, 1.271664, 1.244475, 0.831588, 0.831588, 0.831588, 0.591768, -0.100000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, -126.000000, 0.000000, 82, 13,0, 0, 0,0,1918904912
1.869057, 0.588018, 0.612019, 1.911058, 1.083971, 1.083971, 1.083971, 1.083971, 0.825025, 0.825025, 0.825025, 0.825025, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, -0.070000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.860057, 0.585018, 0.612019, 1.902058, 1.316103, 1.316103, 1.316103, 1.316103, 0.576393, 0.576393, 0.576393, 0.576393, -0.100000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, 0.000000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.863057, 0.582018, 0.636019, 1.902058, 1.335416, 1.335416, 1.335416, 1.335416, 0.544329, 0.544329, 0.544329, 0.545829, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, 0.000000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.866057, 0.579018, 0.621019, 1.914058, 1.330166, 1.330166, 1.330166, 1.251788, 0.545829, 0.545829, 0.545829, 0.549579, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, -108.010002, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.860057, 0.588018, 0.618019, 1.908058, 1.079283, 1.079283, 1.079283, 1.079283, 0.824838, 0.824838, 0.824838, 0.824838, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, -108.010002, 0.000000, 82, 13,0, 0, 0,0,1918904912
1.872057, 0.570017, 0.621019, 1.905058, 1.310290, 1.310290, 1.310290, 1.310290, 0.575455, 0.575455, 0.575455, 0.575455, 0.000000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, 0.000000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.872057, 0.582018, 0.618019, 1.899058, 1.340103, 1.340103, 1.340103, 1.340103, 0.548454, 0.548454, 0.548454, 0.556329, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, -18.059999, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.866057, 0.579018, 0.630019, 1.893058, 1.308977, 1.308977, 1.217100, 1.217100, 0.556329, 0.556329, 0.556329, 0.552579, 0.000000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, -0.070000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.863057, 0.579018, 0.603018, 1.899058, 1.070095, 1.070095, 1.070095, 1.070095, 0.552579, 0.552579, 0.552579, 0.552579, 0.000000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, -251.930008, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.863057, 0.585018, 0.603018, 1.908058, 1.365042, 1.365042, 1.365042, 1.365042, 0.537954, 0.537954, 0.537954, 0.537954, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, 125.930000, 0.000000, 82, 13,0, 0, 0,0,1918904912
1.854057, 0.582018, 0.606018, 1.893058, 1.306165, 1.306165, 1.306165, 1.324165, 0.544704, 0.544704, 0.544704, 0.543954, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, 125.930000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.869057, 0.585018, 0.633019, 1.893058, 1.324165, 1.324165, 1.324165, 1.324165, 0.543954, 0.543954, 0.543954, 0.543954, -0.100000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, 143.919998, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.857057, 0.576018, 0.627019, 1.896058, 1.353791, 1.353791, 1.353791, 1.353791, 0.551267, 0.551267, 0.551267, 0.551267, -0.100000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, 0.000000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.878057, 0.579018, 0.630019, 1.905058, 1.312353, 1.312353, 1.312353, 1.312353, 0.541892, 0.541892, 0.541892, 0.541892, -0.100000, -0.001953, -0.001953, 1.035156, 125.264381, 90.108101, -0.070000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.863057, 0.576018, 0.630019, 1.896058, 1.339728, 1.339728, 1.339728, 1.339728, 0.549767, 0.549767, 0.549767, 0.554454, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, -108.010002, 0.000000, 82, 13,0, 0, 0,0,1918904912
1.872057, 0.576018, 0.603018, 1.893058, 1.296227, 1.296227, 1.296227, 1.228725, 0.554454, 0.554454, 0.554454, 0.549579, 0.000000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, -126.000000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.845056, 0.558017, 0.627019, 1.875057, 1.073095, 1.073095, 1.073095, 1.241663, 0.549579, 0.549579, 0.549579, 0.549017, -0.100000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, -143.990005, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.848056, 0.585018, 0.612019, 1.884058, 0.913340, 0.913340, 0.913340, 0.913340, 0.830463, 0.830463, 0.830463, 0.830463, -0.100000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, -323.890015, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.851056, 0.597018, 0.630019, 1.890058, 1.264726, 1.264726, 1.264726, 1.264726, 0.579768, 0.579768, 0.579768, 0.542454, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, 143.919998, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.857057, 0.585018, 0.639019, 1.887058, 1.364479, 1.364479, 1.364479, 1.364479, 0.542454, 0.542454, 0.542454, 0.542454, -0.100000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, 161.910004, 0.000000, 82, 13,0, 0, 0,0,1918904912
1.842056, 0.579018, 0.645020, 1.881057, 1.342353, 1.342353, 1.342353, 1.203599, 0.542642, 0.542642, 0.542642, 0.557642, -0.100000, -0.001953, -0.001953, 1.035156, 125.264381, 90.108101, 143.919998, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.827056, 0.576018, 0.624019, 1.881057, 1.042907, 1.042907, 1.042907, 1.042907, 0.557642, 0.557642, 0.557642, 0.557642, -0.100000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, -143.990005, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.854057, 0.582018, 0.633019, 1.881057, 1.312915, 1.312915, 1.312915, 1.312915, 0.550329, 0.550329, 0.550329, 0.550329, 0.000000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, -161.979996, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.848056, 0.579018, 0.615019, 1.878057, 1.372167, 1.372167, 1.372167, 1.372167, 0.550329, 0.550329, 0.550329, 0.550329, -0.100000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, 0.000000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.851056, 0.582018, 0.609019, 1.863057, 1.342728, 1.342728, 1.342728, 1.342728, 0.536079, 0.536079, 0.536079, 0.536079, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, 0.000000, 0.000000, 82, 13,0, 0, 0,0,1918904912
1.836056, 0.576018, 0.624019, 1.884058, 1.294165, 1.294165, 1.294165, 1.305227, 0.550892, 0.550892, 0.550892, 0.550892, 0.000000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, -0.070000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.848056, 0.573017, 0.621019, 1.878057, 1.305227, 1.305227, 1.305227, 1.305227, 0.544704, 0.544704, 0.544704, 0.544704, -0.100000, -0.001953, 0.000000, 1.066406, 90.000000, 90.000000, -161.979996, 0.000000, 0, 0,0, 0, 0,0,1918904912
